name, batch, dl_accu, dl_f1, dl_time_elapsed, dl_accu_train 
letter, 16, 0.95817, 0.00000, 0.04, 0.95986
letter, 17, 0.96033, 0.00000, 0.03, 0.95893
letter, 18, 0.95850, 0.00000, 0.03, 0.95971
letter, 19, 0.95650, 0.00000, 0.03, 0.96057
letter, 20, 0.95600, 0.00000, 0.03, 0.96079
yeast, 1, 0.70404, 0.10811, 0.00, 0.70135
yeast, 2, 0.71525, 0.11189, 0.00, 0.69653
yeast, 3, 0.69058, 0.10390, 0.00, 0.70713
yeast, 4, 0.67713, 0.13253, 0.00, 0.71291
yeast, 5, 0.75336, 0.19118, 0.00, 0.68015
yeast, 6, 0.71525, 0.16993, 0.00, 0.69653
yeast, 7, 0.71973, 0.11348, 0.00, 0.69461
yeast, 8, 0.67040, 0.13018, 0.00, 0.71580
yeast, 9, 0.70179, 0.11921, 0.00, 0.70231
yeast, 10, 0.69955, 0.17284, 0.00, 0.70328
yeast, 11, 0.71973, 0.14966, 0.00, 0.69461
yeast, 12, 0.71525, 0.07299, 0.00, 0.69653
yeast, 13, 0.71300, 0.13514, 0.00, 0.69750
yeast, 14, 0.67265, 0.17045, 0.00, 0.71484
yeast, 15, 0.70179, 0.13072, 0.00, 0.70231
yeast, 16, 0.68386, 0.17544, 0.00, 0.71002
yeast, 17, 0.69507, 0.13924, 0.00, 0.70520
yeast, 18, 0.68161, 0.11250, 0.00, 0.71098
yeast, 19, 0.72646, 0.22785, 0.00, 0.69171
yeast, 20, 0.67937, 0.14371, 0.00, 0.71195
splice-1, 1, 0.80564, 0.80503, 0.01, 0.82579
splice-1, 2, 0.82968, 0.81706, 0.01, 0.81549
splice-1, 3, 0.81714, 0.81122, 0.01, 0.82087
splice-1, 4, 0.82027, 0.81057, 0.01, 0.81953
splice-1, 5, 0.81818, 0.81250, 0.01, 0.82042
splice-1, 6, 0.83386, 0.82274, 0.01, 0.81370
splice-1, 7, 0.81714, 0.79241, 0.01, 0.82087
splice-1, 8, 0.79415, 0.77740, 0.01, 0.83072
splice-1, 9, 0.81296, 0.80089, 0.01, 0.82266
splice-1, 10, 0.82759, 0.82085, 0.01, 0.81639
splice-1, 11, 0.82654, 0.82112, 0.01, 0.81684
splice-1, 12, 0.81400, 0.80610, 0.01, 0.82221
splice-1, 13, 0.82654, 0.81390, 0.01, 0.81684
splice-1, 14, 0.80042, 0.79126, 0.01, 0.82803
splice-1, 15, 0.83699, 0.82110, 0.01, 0.81236
splice-1, 16, 0.80251, 0.79299, 0.01, 0.82714
splice-1, 17, 0.82445, 0.80995, 0.01, 0.81773
splice-1, 18, 0.79415, 0.78087, 0.01, 0.83072
splice-1, 19, 0.79624, 0.79100, 0.01, 0.82983
splice-1, 20, 0.81818, 0.81169, 0.01, 0.82042
mushroom, 1, 0.89007, 0.88861, 0.01, 0.88533
mushroom, 2, 0.88884, 0.88394, 0.01, 0.88586
mushroom, 3, 0.87695, 0.87342, 0.01, 0.89096
mushroom, 4, 0.88105, 0.87413, 0.01, 0.88920
mushroom, 5, 0.88884, 0.88263, 0.01, 0.88586
mushroom, 6, 0.87818, 0.87313, 0.01, 0.89043
mushroom, 7, 0.89212, 0.88419, 0.01, 0.88445
mushroom, 8, 0.89541, 0.89344, 0.01, 0.88305
mushroom, 9, 0.89171, 0.88804, 0.01, 0.88463
mushroom, 10, 0.88638, 0.87920, 0.01, 0.88692
mushroom, 11, 0.87613, 0.87016, 0.01, 0.89131
mushroom, 12, 0.89171, 0.88522, 0.01, 0.88463
mushroom, 13, 0.88884, 0.88067, 0.01, 0.88586
mushroom, 14, 0.89377, 0.88851, 0.01, 0.88375
mushroom, 15, 0.88720, 0.88017, 0.01, 0.88656
mushroom, 16, 0.88802, 0.88592, 0.01, 0.88621
mushroom, 17, 0.89171, 0.88552, 0.01, 0.88463
mushroom, 18, 0.88310, 0.87516, 0.01, 0.88832
mushroom, 19, 0.88556, 0.88010, 0.01, 0.88727
mushroom, 20, 0.88761, 0.88321, 0.01, 0.88639
zoo-1, 1, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 2, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 3, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 4, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 5, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 6, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 7, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 8, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 9, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 10, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 11, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 12, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 13, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 14, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 15, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 16, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 17, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 18, 0.90323, 0.89655, 0.00, 1.00000
zoo-1, 19, 1.00000, 1.00000, 0.00, 1.00000
zoo-1, 20, 1.00000, 1.00000, 0.00, 1.00000
diabetes, 1, 0.76623, 0.84024, 0.00, 0.73557
diabetes, 2, 0.79221, 0.85000, 0.00, 0.72439
diabetes, 3, 0.75758, 0.82716, 0.00, 0.73929
diabetes, 4, 0.75325, 0.82243, 0.00, 0.74115
diabetes, 5, 0.77489, 0.83544, 0.00, 0.73184
diabetes, 6, 0.77489, 0.84795, 0.00, 0.73184
diabetes, 7, 0.74892, 0.81875, 0.00, 0.74302
diabetes, 8, 0.76623, 0.84118, 0.00, 0.73557
diabetes, 9, 0.80087, 0.86628, 0.00, 0.72067
diabetes, 10, 0.70996, 0.78176, 0.00, 0.75978
diabetes, 11, 0.73160, 0.81325, 0.00, 0.75047
diabetes, 12, 0.76190, 0.81848, 0.00, 0.73743
diabetes, 13, 0.74026, 0.82036, 0.00, 0.74674
diabetes, 14, 0.76190, 0.82972, 0.00, 0.73743
diabetes, 15, 0.73160, 0.79739, 0.00, 0.75047
diabetes, 16, 0.71861, 0.79624, 0.00, 0.75605
diabetes, 17, 0.75758, 0.84270, 0.00, 0.72439
diabetes, 18, 0.70563, 0.78344, 0.00, 0.76164
diabetes, 19, 0.73160, 0.79195, 0.00, 0.72812
diabetes, 20, 0.73593, 0.81899, 0.00, 0.74860
segment, 1, 0.98124, 0.93122, 0.00, 0.98207
segment, 2, 0.98124, 0.92737, 0.01, 0.98207
segment, 3, 0.98557, 0.95238, 0.00, 0.98083
segment, 4, 0.97547, 0.90286, 0.01, 0.98454
segment, 5, 0.97114, 0.89011, 0.00, 0.98701
segment, 6, 0.98124, 0.93401, 0.00, 0.98207
segment, 7, 0.98268, 0.93878, 0.00, 0.98207
segment, 8, 0.98124, 0.91824, 0.01, 0.98083
segment, 9, 0.98124, 0.93122, 0.01, 0.98268
segment, 10, 0.98268, 0.92683, 0.00, 0.98207
segment, 11, 0.98413, 0.92617, 0.00, 0.98145
segment, 12, 0.97547, 0.92019, 0.01, 0.98516
segment, 13, 0.97980, 0.93204, 0.01, 0.98268
segment, 14, 0.97835, 0.91892, 0.00, 0.98330
segment, 15, 0.98701, 0.94798, 0.01, 0.98021
segment, 16, 0.98413, 0.93413, 0.00, 0.98145
segment, 17, 0.98413, 0.93333, 0.01, 0.98145
segment, 18, 0.97835, 0.92063, 0.00, 0.98330
segment, 19, 0.97835, 0.91803, 0.00, 0.98330
segment, 20, 0.98557, 0.95050, 0.00, 0.98083
vote, 1, 0.95420, 0.96154, 0.00, 0.95724
vote, 2, 0.98473, 0.98810, 0.00, 0.94408
vote, 3, 0.96947, 0.97297, 0.00, 0.95066
vote, 4, 1.00000, 1.00000, 0.00, 0.93750
vote, 5, 0.96947, 0.97468, 0.00, 0.95066
vote, 6, 0.94656, 0.95597, 0.00, 0.96053
vote, 7, 0.94656, 0.95808, 0.00, 0.96053
vote, 8, 0.96183, 0.97006, 0.00, 0.95395
vote, 9, 0.96183, 0.96894, 0.00, 0.95395
vote, 10, 0.95420, 0.96053, 0.00, 0.95724
vote, 11, 0.96183, 0.97041, 0.00, 0.95395
vote, 12, 0.96183, 0.97006, 0.00, 0.95395
vote, 13, 0.95420, 0.96296, 0.00, 0.95724
vote, 14, 0.92366, 0.93056, 0.00, 0.95395
vote, 15, 0.95420, 0.96629, 0.00, 0.95724
vote, 16, 0.95420, 0.96250, 0.00, 0.95724
vote, 17, 0.93893, 0.95238, 0.00, 0.96382
vote, 18, 0.93893, 0.95238, 0.00, 0.96382
vote, 19, 0.93130, 0.94194, 0.00, 0.95066
vote, 20, 0.96947, 0.97701, 0.00, 0.95066
kr-vs-kp, 1, 0.66840, 0.70985, 0.00, 0.68842
kr-vs-kp, 2, 0.66215, 0.73045, 0.00, 0.69245
kr-vs-kp, 3, 0.67153, 0.71900, 0.00, 0.68708
kr-vs-kp, 4, 0.66840, 0.71958, 0.00, 0.68976
kr-vs-kp, 5, 0.69343, 0.75085, 0.00, 0.67903
kr-vs-kp, 6, 0.68509, 0.74010, 0.00, 0.68261
kr-vs-kp, 7, 0.67049, 0.72281, 0.00, 0.68753
kr-vs-kp, 8, 0.68509, 0.74833, 0.00, 0.68261
kr-vs-kp, 9, 0.67570, 0.74319, 0.01, 0.68663
kr-vs-kp, 10, 0.69343, 0.74957, 0.00, 0.67903
kr-vs-kp, 11, 0.67258, 0.72884, 0.00, 0.68797
kr-vs-kp, 12, 0.66945, 0.71103, 0.00, 0.68797
kr-vs-kp, 13, 0.70386, 0.75559, 0.00, 0.67456
kr-vs-kp, 14, 0.65485, 0.70314, 0.00, 0.69423
kr-vs-kp, 15, 0.69343, 0.75743, 0.00, 0.67903
kr-vs-kp, 16, 0.66528, 0.70792, 0.00, 0.68976
kr-vs-kp, 17, 0.67570, 0.73887, 0.00, 0.68663
kr-vs-kp, 18, 0.68300, 0.72313, 0.00, 0.68216
kr-vs-kp, 19, 0.68092, 0.74024, 0.00, 0.68440
kr-vs-kp, 20, 0.68092, 0.74329, 0.00, 0.68440
lymph, 1, 0.71111, 0.74510, 0.00, 0.83495
lymph, 2, 0.60000, 0.59091, 0.00, 0.79612
lymph, 3, 0.73333, 0.73913, 0.00, 0.82524
lymph, 4, 0.60000, 0.70000, 0.00, 0.79612
lymph, 5, 0.82222, 0.86667, 0.00, 0.78641
lymph, 6, 0.75556, 0.77551, 0.00, 0.81553
lymph, 7, 0.75556, 0.75556, 0.00, 0.81553
lymph, 8, 0.73333, 0.72727, 0.00, 0.82524
lymph, 9, 0.80000, 0.80851, 0.00, 0.79612
lymph, 10, 0.60000, 0.62500, 0.00, 0.79612
lymph, 11, 0.82222, 0.78947, 0.00, 0.78641
lymph, 12, 0.86667, 0.88889, 0.00, 0.76699
lymph, 13, 0.71111, 0.72340, 0.00, 0.83495
lymph, 14, 0.80000, 0.79070, 0.00, 0.79612
lymph, 15, 0.77778, 0.79167, 0.00, 0.80583
lymph, 16, 0.86667, 0.85000, 0.00, 0.76699
lymph, 17, 0.80000, 0.75676, 0.00, 0.79612
lymph, 18, 0.73333, 0.76923, 0.00, 0.82524
lymph, 19, 0.80000, 0.83636, 0.00, 0.79612
lymph, 20, 0.75556, 0.79245, 0.00, 0.81553
ionosphere, 1, 0.78302, 0.83916, 0.00, 0.85306
ionosphere, 2, 0.78302, 0.84564, 0.00, 0.83265
ionosphere, 3, 0.85849, 0.90909, 0.00, 0.82041
ionosphere, 4, 0.76415, 0.83221, 0.00, 0.86122
ionosphere, 5, 0.86792, 0.91463, 0.00, 0.81633
ionosphere, 6, 0.81132, 0.86486, 0.00, 0.82041
ionosphere, 7, 0.82075, 0.86525, 0.00, 0.83673
ionosphere, 8, 0.85849, 0.90566, 0.00, 0.82041
ionosphere, 9, 0.84906, 0.89610, 0.00, 0.82449
ionosphere, 10, 0.81132, 0.87179, 0.00, 0.84082
ionosphere, 11, 0.82075, 0.87248, 0.00, 0.83673
ionosphere, 12, 0.82075, 0.87075, 0.01, 0.83673
ionosphere, 13, 0.83019, 0.87500, 0.00, 0.83265
ionosphere, 14, 0.83962, 0.89308, 0.00, 0.82857
ionosphere, 15, 0.83019, 0.89024, 0.00, 0.83265
ionosphere, 16, 0.82075, 0.87898, 0.00, 0.83673
ionosphere, 17, 0.83962, 0.88435, 0.00, 0.82857
ionosphere, 18, 0.77358, 0.84000, 0.00, 0.83673
ionosphere, 19, 0.78302, 0.85350, 0.00, 0.83265
ionosphere, 20, 0.83962, 0.89032, 0.00, 0.82857
soybean, 1, 0.81481, 0.00000, 0.00, 0.87075
soybean, 2, 0.86243, 0.00000, 0.00, 0.85034
soybean, 3, 0.89947, 0.00000, 0.00, 0.83447
soybean, 4, 0.85185, 0.00000, 0.00, 0.85488
soybean, 5, 0.86772, 0.00000, 0.00, 0.84807
soybean, 6, 0.85185, 0.00000, 0.00, 0.85488
soybean, 7, 0.88889, 0.00000, 0.00, 0.83900
soybean, 8, 0.86772, 0.00000, 0.00, 0.84807
soybean, 9, 0.84127, 0.00000, 0.00, 0.85941
soybean, 10, 0.89947, 0.00000, 0.00, 0.83447
soybean, 11, 0.83598, 0.00000, 0.00, 0.86168
soybean, 12, 0.83598, 0.00000, 0.00, 0.86168
soybean, 13, 0.85714, 0.00000, 0.00, 0.85261
soybean, 14, 0.87831, 0.00000, 0.00, 0.84354
soybean, 15, 0.85714, 0.00000, 0.00, 0.85261
soybean, 16, 0.87831, 0.00000, 0.00, 0.84354
soybean, 17, 0.86772, 0.00000, 0.00, 0.84807
soybean, 18, 0.86772, 0.00000, 0.00, 0.84807
soybean, 19, 0.85714, 0.00000, 0.00, 0.85261
soybean, 20, 0.86243, 0.00000, 0.00, 0.85034
hypothyroid, 1, 0.96410, 0.98026, 0.00, 0.96347
hypothyroid, 2, 0.96308, 0.97943, 0.00, 0.96391
hypothyroid, 3, 0.96103, 0.97834, 0.00, 0.96479
hypothyroid, 4, 0.96000, 0.97765, 0.00, 0.96523
hypothyroid, 5, 0.96718, 0.98169, 0.00, 0.96215
hypothyroid, 6, 0.95897, 0.97743, 0.00, 0.96567
hypothyroid, 7, 0.96205, 0.97858, 0.00, 0.96435
hypothyroid, 8, 0.96923, 0.98286, 0.00, 0.96127
hypothyroid, 9, 0.96308, 0.97941, 0.00, 0.96391
hypothyroid, 10, 0.95692, 0.97622, 0.00, 0.96655
hypothyroid, 11, 0.95487, 0.97415, 0.00, 0.96743
hypothyroid, 12, 0.96205, 0.97853, 0.00, 0.96435
hypothyroid, 13, 0.97128, 0.98423, 0.00, 0.96039
hypothyroid, 14, 0.96513, 0.98053, 0.00, 0.96303
hypothyroid, 15, 0.96103, 0.97829, 0.00, 0.96479
hypothyroid, 16, 0.96308, 0.97938, 0.00, 0.96391
hypothyroid, 17, 0.96513, 0.98079, 0.00, 0.96303
hypothyroid, 18, 0.97436, 0.98582, 0.00, 0.95907
hypothyroid, 19, 0.95897, 0.97714, 0.00, 0.96567
hypothyroid, 20, 0.95897, 0.97758, 0.00, 0.96567
vehicle, 1, 0.74409, 0.34343, 0.00, 0.79054
vehicle, 2, 0.74016, 0.35294, 0.00, 0.77703
vehicle, 3, 0.76772, 0.45872, 0.00, 0.78041
vehicle, 4, 0.72835, 0.38938, 0.00, 0.77534
vehicle, 5, 0.73622, 0.40708, 0.00, 0.79392
vehicle, 6, 0.68504, 0.50617, 0.00, 0.78041
vehicle, 7, 0.76378, 0.33333, 0.00, 0.77534
vehicle, 8, 0.77165, 0.40816, 0.00, 0.77872
vehicle, 9, 0.78740, 0.44898, 0.00, 0.77196
vehicle, 10, 0.79134, 0.37647, 0.00, 0.77027
vehicle, 11, 0.74016, 0.40000, 0.00, 0.79223
vehicle, 12, 0.75197, 0.38835, 0.00, 0.78716
vehicle, 13, 0.75984, 0.32967, 0.00, 0.77703
vehicle, 14, 0.75197, 0.30769, 0.00, 0.78716
vehicle, 15, 0.79134, 0.45361, 0.00, 0.77027
vehicle, 16, 0.77559, 0.31325, 0.00, 0.77703
vehicle, 17, 0.74409, 0.46281, 0.00, 0.76858
vehicle, 18, 0.76378, 0.41176, 0.00, 0.78209
vehicle, 19, 0.74016, 0.36538, 0.00, 0.79223
vehicle, 20, 0.75984, 0.39604, 0.00, 0.78378
primary-tumor, 1, 0.80198, 0.61538, 0.00, 0.78723
primary-tumor, 2, 0.82178, 0.60870, 0.00, 0.77872
primary-tumor, 3, 0.70297, 0.06250, 0.00, 0.77872
primary-tumor, 4, 0.78218, 0.56000, 0.00, 0.79574
primary-tumor, 5, 0.76238, 0.47826, 0.00, 0.80426
primary-tumor, 6, 0.73267, 0.44898, 0.00, 0.81702
primary-tumor, 7, 0.81188, 0.57778, 0.00, 0.78298
primary-tumor, 8, 0.75248, 0.54545, 0.00, 0.80851
primary-tumor, 9, 0.78218, 0.56000, 0.00, 0.79574
primary-tumor, 10, 0.73267, 0.49057, 0.00, 0.81702
primary-tumor, 11, 0.76238, 0.60000, 0.00, 0.80426
primary-tumor, 12, 0.77228, 0.53061, 0.00, 0.80000
primary-tumor, 13, 0.76238, 0.29412, 0.00, 0.77447
primary-tumor, 14, 0.72277, 0.44000, 0.00, 0.82128
primary-tumor, 15, 0.81188, 0.65455, 0.00, 0.78298
primary-tumor, 16, 0.79208, 0.48780, 0.00, 0.79149
primary-tumor, 17, 0.78218, 0.62069, 0.00, 0.79574
primary-tumor, 18, 0.71287, 0.25641, 0.00, 0.79574
primary-tumor, 19, 0.77228, 0.62295, 0.00, 0.80000
primary-tumor, 20, 0.73267, 0.52632, 0.00, 0.81702
australian-credit, 1, 0.86224, 0.85405, 0.00, 0.86433
australian-credit, 2, 0.85204, 0.85714, 0.00, 0.86871
australian-credit, 3, 0.86224, 0.86154, 0.00, 0.86433
australian-credit, 4, 0.86735, 0.87619, 0.00, 0.86214
australian-credit, 5, 0.89286, 0.89655, 0.00, 0.85120
australian-credit, 6, 0.85204, 0.84153, 0.00, 0.86871
australian-credit, 7, 0.86224, 0.86700, 0.00, 0.86433
australian-credit, 8, 0.87245, 0.87179, 0.00, 0.85996
australian-credit, 9, 0.87245, 0.87310, 0.00, 0.85996
australian-credit, 10, 0.90816, 0.90816, 0.00, 0.84464
australian-credit, 11, 0.85714, 0.86667, 0.00, 0.86652
australian-credit, 12, 0.83163, 0.82540, 0.00, 0.87746
australian-credit, 13, 0.86735, 0.87255, 0.00, 0.86214
australian-credit, 14, 0.87245, 0.86339, 0.00, 0.85996
australian-credit, 15, 0.88265, 0.88557, 0.00, 0.85558
australian-credit, 16, 0.86224, 0.85714, 0.00, 0.86433
australian-credit, 17, 0.86224, 0.86567, 0.00, 0.86433
australian-credit, 18, 0.84694, 0.84848, 0.00, 0.87090
australian-credit, 19, 0.88265, 0.89100, 0.00, 0.85558
australian-credit, 20, 0.85204, 0.85990, 0.00, 0.86871
anneal, 1, 0.85656, 0.91991, 0.00, 0.79577
anneal, 2, 0.82787, 0.90141, 0.00, 0.80634
anneal, 3, 0.81557, 0.89209, 0.00, 0.81338
anneal, 4, 0.84016, 0.90867, 0.00, 0.80282
anneal, 5, 0.84426, 0.91204, 0.00, 0.80106
anneal, 6, 0.81967, 0.89524, 0.00, 0.81162
anneal, 7, 0.81557, 0.89461, 0.00, 0.81338
anneal, 8, 0.80328, 0.88626, 0.00, 0.81690
anneal, 9, 0.81148, 0.89100, 0.00, 0.81514
anneal, 10, 0.80328, 0.88462, 0.00, 0.81866
anneal, 11, 0.79508, 0.87981, 0.00, 0.82218
anneal, 12, 0.84016, 0.90909, 0.00, 0.80282
anneal, 13, 0.79508, 0.87981, 0.00, 0.82218
anneal, 14, 0.81148, 0.89202, 0.00, 0.81514
anneal, 15, 0.80328, 0.88350, 0.00, 0.81866
anneal, 16, 0.81967, 0.89524, 0.00, 0.81162
anneal, 17, 0.82377, 0.89688, 0.00, 0.80986
anneal, 18, 0.78689, 0.87560, 0.00, 0.82570
anneal, 19, 0.82377, 0.90023, 0.00, 0.80986
anneal, 20, 0.82787, 0.90000, 0.00, 0.80810
hepatitis, 1, 0.83333, 0.90411, 0.00, 0.87368
hepatitis, 2, 0.83333, 0.90141, 0.00, 0.87368
hepatitis, 3, 0.80952, 0.88571, 0.00, 0.88421
hepatitis, 4, 0.85714, 0.91667, 0.00, 0.86316
hepatitis, 5, 0.85714, 0.92105, 0.00, 0.86316
hepatitis, 6, 0.78571, 0.86567, 0.00, 0.86316
hepatitis, 7, 0.88095, 0.92754, 0.00, 0.85263
hepatitis, 8, 0.88095, 0.93333, 0.00, 0.85263
hepatitis, 9, 0.88095, 0.92958, 0.00, 0.85263
hepatitis, 10, 0.85714, 0.91429, 0.00, 0.86316
hepatitis, 11, 0.83333, 0.89855, 0.00, 0.87368
hepatitis, 12, 0.85714, 0.91892, 0.00, 0.86316
hepatitis, 13, 0.88095, 0.92958, 0.00, 0.85263
hepatitis, 14, 0.90476, 0.94444, 0.00, 0.84211
hepatitis, 15, 0.80952, 0.88235, 0.00, 0.88421
hepatitis, 16, 0.73810, 0.84932, 0.00, 0.84211
hepatitis, 17, 0.83333, 0.89552, 0.00, 0.87368
hepatitis, 18, 0.85714, 0.91176, 0.00, 0.86316
hepatitis, 19, 0.88095, 0.93506, 0.00, 0.85263
hepatitis, 20, 0.80952, 0.88889, 0.00, 0.88421
audiology, 1, 0.86154, 0.74286, 0.00, 0.86755
audiology, 2, 0.83077, 0.75556, 0.00, 0.88079
audiology, 3, 0.84615, 0.76190, 0.00, 0.87417
audiology, 4, 0.84615, 0.79167, 0.00, 0.87417
audiology, 5, 0.87692, 0.81818, 0.00, 0.86093
audiology, 6, 0.92308, 0.87805, 0.01, 0.84106
audiology, 7, 0.84615, 0.76190, 0.00, 0.87417
audiology, 8, 0.86154, 0.80851, 0.00, 0.86755
audiology, 9, 0.81538, 0.68421, 0.00, 0.88742
audiology, 10, 0.87692, 0.75000, 0.00, 0.86093
audiology, 11, 0.90769, 0.85714, 0.00, 0.84768
audiology, 12, 0.90769, 0.85714, 0.00, 0.84768
audiology, 13, 0.87692, 0.80000, 0.00, 0.86093
audiology, 14, 0.80000, 0.68293, 0.00, 0.89404
audiology, 15, 0.81538, 0.76923, 0.00, 0.88742
audiology, 16, 0.81538, 0.76000, 0.00, 0.88742
audiology, 17, 0.89231, 0.82051, 0.00, 0.85430
audiology, 18, 0.81538, 0.70000, 0.00, 0.88742
audiology, 19, 0.86154, 0.78049, 0.00, 0.86755
audiology, 20, 0.84615, 0.78261, 0.00, 0.87417
heart-cleveland, 1, 0.75281, 0.78000, 0.00, 0.77295
heart-cleveland, 2, 0.73034, 0.75000, 0.00, 0.76329
heart-cleveland, 3, 0.77528, 0.80769, 0.00, 0.76329
heart-cleveland, 4, 0.74157, 0.76768, 0.00, 0.75845
heart-cleveland, 5, 0.65169, 0.66667, 0.00, 0.79710
heart-cleveland, 6, 0.69663, 0.70330, 0.00, 0.77778
heart-cleveland, 7, 0.69663, 0.73267, 0.00, 0.76812
heart-cleveland, 8, 0.79775, 0.81250, 0.00, 0.75362
heart-cleveland, 9, 0.67416, 0.70707, 0.00, 0.78744
heart-cleveland, 10, 0.76404, 0.76923, 0.00, 0.76812
heart-cleveland, 11, 0.71910, 0.75728, 0.00, 0.78744
heart-cleveland, 12, 0.62921, 0.64516, 0.00, 0.80676
heart-cleveland, 13, 0.76404, 0.79208, 0.00, 0.76812
heart-cleveland, 14, 0.80899, 0.82105, 0.00, 0.74879
heart-cleveland, 15, 0.77528, 0.80769, 0.00, 0.76329
heart-cleveland, 16, 0.73034, 0.76923, 0.00, 0.78261
heart-cleveland, 17, 0.73034, 0.75510, 0.00, 0.76329
heart-cleveland, 18, 0.75281, 0.76596, 0.00, 0.74396
heart-cleveland, 19, 0.78652, 0.78652, 0.00, 0.75845
heart-cleveland, 20, 0.75281, 0.75556, 0.00, 0.77295
tic-tac-toe, 1, 0.69097, 0.76139, 0.00, 0.70299
tic-tac-toe, 2, 0.70833, 0.77778, 0.00, 0.69552
tic-tac-toe, 3, 0.70486, 0.77690, 0.00, 0.69701
tic-tac-toe, 4, 0.68750, 0.75138, 0.00, 0.70448
tic-tac-toe, 5, 0.70486, 0.77573, 0.00, 0.69701
tic-tac-toe, 6, 0.70486, 0.77212, 0.00, 0.69701
tic-tac-toe, 7, 0.69097, 0.75070, 0.00, 0.70299
tic-tac-toe, 8, 0.70833, 0.77895, 0.00, 0.69552
tic-tac-toe, 9, 0.72569, 0.77620, 0.00, 0.68806
tic-tac-toe, 10, 0.72222, 0.78495, 0.00, 0.68955
tic-tac-toe, 11, 0.66667, 0.74194, 0.00, 0.71343
tic-tac-toe, 12, 0.69792, 0.77635, 0.00, 0.70000
tic-tac-toe, 13, 0.69444, 0.76216, 0.00, 0.70149
tic-tac-toe, 14, 0.68403, 0.75733, 0.00, 0.70597
tic-tac-toe, 15, 0.70139, 0.76630, 0.00, 0.69851
tic-tac-toe, 16, 0.72222, 0.79487, 0.00, 0.68955
tic-tac-toe, 17, 0.71875, 0.78515, 0.00, 0.69104
tic-tac-toe, 18, 0.74653, 0.80637, 0.00, 0.67910
tic-tac-toe, 19, 0.67014, 0.73829, 0.00, 0.71194
tic-tac-toe, 20, 0.71528, 0.77957, 0.00, 0.69254
breast-wisconsin, 1, 0.90244, 0.92248, 0.00, 0.94142
breast-wisconsin, 2, 0.91707, 0.93633, 0.00, 0.93515
breast-wisconsin, 3, 0.93171, 0.94574, 0.00, 0.92887
